Avaliadores/Revisores e número de artefatos avaliados,,
Nome,Instituição,# artefatos
Diego Kreutz,UNIPAMPA,8
Anderson Frasão,Universidade Federal do Paraná,5
Anselmo Lacerda Gomes,Instituto Atlântico,5
Jorge Correia,Universidade Federal do Paraná (UFPR),5
Aline de Lurdes Zuliani Lunkes,PUCPR,4
Anderson Bergamini de Neira,UFPR,4
Bruno Albertini,USP,4
Ioram Schechtman Sette,CESAR,4
Joner Assolin,UFAM,4
Kalinka Castelo Branco,ICMC/USP,4
Rodrigo Mansilha,UNIPAMPA,4
Rodrigo Carneiro Munhoz Coimbra,Tribunal Superior Eleitoral,4
Andre Leon Sampaio Gradvohl,Universidade Estadual de Campinas,3/6
Amanda Viescinski,UFPR,3
Angelo Gaspar Diniz Nogueira,UNIPAMPA,3
Antonio João Gonçalves de Azambuja,UFRGS,3
Augusto Parisot de Gusmão Neto,Universidade Federal Fluminense,3
Eduardo Feitosa,Universidade Federal do Amazonas,3
Eduardo Kugler Viegas,PUCPR,3
Françoa Taffarel,MARINHA DO BRASIL,3
Hugo Pereira Kuribayashi,Universidade Federal do Sul e Sudeste do Pará,3
Jeandro de Mesquita Bezerra,UFC Quixadá/UFMG,3
João Gondim,UnB,3
Leandro Bertholdo,UFRGS,3
Leonardo Toshinobu Kimura,USP,3
Lucas Airam Castro de Souza,UFRJ/INRIA,3
Mateus Tymburibá,Centro Federal De Educação Tecnológica de Minas Gerais,3
Natascha Sander de Abreu,GGF Agro,3
Roben Lunardi,IFRS,3
Sidnei Barbieri,Instituto Tecnológico de Aeronáutica (ITA),3
Thiago Guimarães Tavares,IFTO - Instituto Federal de Educação Ciência e Tecnologia do Tocantins,3
Tiago Heinrich,Max Planck Institute for Informatics,3
Vanderson da Silva Rocha,UFAM - Universidade federal do Amazonas,3
William Akihiro Alves Aisawa,USP,3
Eduardo Takeo Ueda,Instituto de Pesquisas Tecnológicas do Estado de São Paulo (IPT),2/4
Felipe José Aguiar Rampazzo,Unicamp,2/4
Jéferson Campos Nobre,UFRGS,2/4
Kamilla Dória da Silveira,Universidade Tiradentes,2/4
"Marcio Barbado, Jr.",YDUQS Estácio,2/4
Marco Antonio Torrez Rojas,Instituto Federal Catarinense - IFC,2/3
Galileu Batista de Sousa,IFRN / Polícia Federal,2
